"","F1T1","F2T1","F3T1","F4T1","F5T1","S1T1","S2T1","S3T1","S4T1","S5T1","S6T1","S7T1","M1T1","M2T1","M3T1","M4T1","M5T1","M6T1","M7T1","M8T1","M9T1","M10T1","H1","H2","H3","H4","H5","H6","H7","H8"
"MERTK",NA,NA,NA,NA,NA,NA,NA,0.089200000119561,0.224300000174448,0.0240999997384016,-0.0349000007202064,-0.0260999998436351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LMAN2",0.0594999995301497,0.314800000443435,0.297600000385683,0.408699999908222,-0.58949999925655,-0.422700000382559,0.0160999999974155,0.324000000398771,-0.0626999998447926,0.266499999751061,0.377800000472129,2.17430000002524,-0.0237999997288864,0.367499999917406,0.18069999954184,0.791399999726899,0.499700000506321,NA,NA,NA,NA,NA,1.1974999998619,0.898500000163734,0.864600000316235,1.07129999996492,1.0374000002544,0.620300000255481,1.17619999981392,0.613399999574199
"PTPRJ",NA,NA,NA,NA,0.312900000108382,-0.054000000030176,-0.0417000003842136,0.285900000376154,0.00389999979277092,-0.0577999998628062,0.00149999932572838,0.132600000618359,-0.0413000003415847,-0.18649999967364,-0.255999999153111,-0.279700000022118,-0.404599999570959,0.130800000251705,0.161600000615508,0.17910000006811,0.0851999998580511,0.207000000603884,0.496999999582209,0.319000000099406,0.594600000297366,0.38219999951253,0.428000000512766,0.401100000083011,0.585899999763692,0.301900000451694
"PLA2G7",-0.495199999558273,-0.0649999993868831,-0.60399999893541,-0.223600000431823,0.180199999698929,0.315799999848849,0.550199999616528,0.502099999574335,-0.555700001045445,0.0934999995157728,0.714099999611036,0.552199999786311,1.04310000019968,0.311499999894632,0.270599999565896,0.482900000306892,0.297600000385683,NA,NA,NA,NA,NA,0.775499999641697,0.299399999725628,0.176099999497161,0.395099999724997,0.517700000372819,-0.340800000693439,0.223400000466117,0.734800000058124
"SPP2",0.224600000470817,0.356000000175499,NA,NA,-0.00869999967902359,0.113700000488168,1.00669999986985,-0.147400000037906,-0.0256999995396037,0.27530000050177,0.373900000262945,1.07710000025494,-0.129499999943173,0.31609999944446,-0.267300000748667,0.132700000469679,0.52100000039542,0.536099999982085,0.558199999710683,-0.157999999306883,-0.0191999995387294,0.484000000269781,0.751199999661078,0.800900000119677,1.12760000029607,1.05860000008734,0.70999999989808,0.386599999657068,1.42109999992516,1.50080000014653
"MMRN1",0.521299999999735,-0.0305999997439593,0.499199999748549,0.0840999996298599,0.662199999624692,0.600900000282257,0.0964999995452775,0.281100000289006,-0.177599999660696,0.0827999999713357,0.151099999845094,0.198199999938101,0.260099999524814,0.187299999908028,0.655199999641476,0.216900000204092,0.53489999998146,-0.306699999790057,0.180400000061085,0.21050000005382,0.278799999539217,0.371899999720728,0.253900000267356,-0.0308999999266485,-0.0781000002828279,0.31469999971976,0.242500000062306,0.538300000462563,0.152100000632824,0.246799999505929
"SELENBP1",-0.00139999947854189,0.540799999540467,-0.300200000122874,-0.163500000470086,0.472599999933506,0.0956999995145149,0.179799999838188,0.141399999654848,0.0141000005015586,0.0964999995452775,0.253000000515675,-0.0377999993564457,0.716700000206102,0.110800000442953,-0.112300000616413,-0.56670000087612,-0.436900000393475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PTPRS",NA,NA,0.0757000000963884,-0.443899999550216,-0.0686999996367746,-0.2473999992785,-0.130200000112752,NA,NA,NA,NA,NA,-0.126100000066789,0.0386999993441825,-0.246199999485065,0.0556000006839042,-0.191099999333333,NA,NA,NA,NA,NA,1.46030000025015,0.966000000055794,1.31010000010839,0.884200000324645,0.56210000044343,0.798499999715763,1.09920000015811,0.765100000244453
"ITGAD",0.404500000371675,0.016199999984641,0.271200000379927,0.281399999594729,0.607800000334836,-0.299199999335704,0.127199999429475,-1.17559999892325,-0.650299999368555,0.613199999557977,0.386799999602769,-0.0105999996386336,0.317199999518461,-1.07249999949579,-1.56299999899023,0.0495000006591442,0.721999999807436,0.292500000474194,0.183900000041308,0.223499999881482,0.209699999543955,0.0987999998875066,2.64810000005862,1.01139999987159,0.580299999885164,0.155600000562469,-0.0246000000813338,-0.379499999950834,0.255799999541339,-0.00659999990720316
"ORC2",-0.867900001268827,0.153599999702527,-0.19120000054653,0.418700000137654,-0.87040000089661,-0.917800000192751,-0.439500000603227,0.085299999840216,-0.0191000006059658,0.185499999673709,0.0698999995481559,0.988900000232101,0.56220000048555,0.119099999392458,0.852400000018779,0.570399999975895,0.123800000048302,0.272700000142685,0.179699999737369,1.02170000017694,0.468299999662596,0.321199999986114,1.45490000015897,1.34820000016883,1.34249999996446,1.63929999981514,0.968199999655106,1.12519999984583,1.39900000000835,1.38000000006437
"ILK",NA,NA,0.896500000205244,-1.08130000052776,0.151600000513067,-0.232499999169502,-0.604199999453634,-0.0812000004157519,-0.0318999999865252,0.611000000037122,-0.349599999923066,0.0827999999713357,-0.33139999961568,0.0309000000999477,0.00660000052588224,0.243099999793377,0.585399999937052,0.23220000061355,0.756600000144097,0.471099999975512,0.528799999664041,1.08099999983847,NA,NA,NA,NA,NA,NA,NA,NA
"MSLN",-1.06239999849422,-0.214400000343312,-0.0320000006598491,0.108099999462146,-0.287800000574055,0.144599999761755,0.164600000160163,-0.140800000545296,0.139899999631825,-0.119799999314242,0.25779999946646,-0.0346999999686793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48089999981718,0.328899999993043,0.670000000444452,0.737100000339645,0.262999999551292,0.235099999994186,0.654499999643087,0.703699999835778
"MADCAM1",NA,NA,-0.146699999293085,0.295099999544417,NA,NA,NA,NA,NA,NA,NA,NA,-0.274800000763739,0.638799999552833,-0.132999999240266,-0.448599999159,-0.530300000665365,0.178000000196514,0.631799999881404,0.281799999754818,0.28910000017356,0.434799999592652,0.26629999958172,0.772700000252929,0.329499999578811,0.193800000391478,0.378600000044981,0.629000000083368,0.341099999815203,0.788100000356715
"ART3",-0.110200000643241,0.176200000452331,-0.450299999542542,-0.161799999804203,-0.215799999183542,0.14299999978691,0.00230000001570408,NA,NA,NA,NA,NA,0.590800000087008,0.595499999814586,0.179399999881305,0.328999999835157,0.0497000000923767,-0.373000000171487,-0.214000000029445,0.193900000379783,0.754799999948838,0.132700000469679,0.213600000480995,-0.195099999267048,0.00710000044477035,0.530299999622194,0.163100000005647,0.500900000059099,0.300999999478011,0.523300000077273
