"","C1","C2","C3","C4","C5","C6","M1","M4","S1","S2","S3","H1","H2","H3","H4","H5","M2","M3"
"Q9UJJ9",-9.95070950379069,-9.59474061109894,NA,-10.180290355268,NA,NA,-10.1386670367408,NA,-9.67234826968105,NA,-10.5343028824546,NA,NA,NA,NA,NA,NA,NA
"P33151",-9.53221182915209,-7.79140596155426,-8.997812550117,-9.26310149388705,NA,-8.60431290518481,-8.55999982010596,-8.6114053310609,-10.1375897422715,-8.59873647381698,-10.4374392876578,-7.83053784263579,-9.48035745749184,-9.0187962927426,-8.5682275904329,-7.26511268618425,-8.39216406694116,-8.24792751344358
"P29401",-9.5218808196762,-9.12412131182919,-9.30329150552022,-6.81086520616898,NA,-10.2986375878956,NA,NA,NA,NA,-9.3466720188689,NA,NA,NA,NA,NA,-10.3921640669412,NA
"P06312",-7.00819915708783,-7.55189875981221,-8.51356786933813,-8.38447852815498,-7.55765076430288,NA,-6.78551943295513,-6.67587649420427,-6.65069588104546,-6.81147586328449,-7.53680781121581,-9.15246593752315,-8.89539495677069,-10.0187962927426,-9.56822759043291,-6.94318459129689,-7.58480914488355,-7.07800251200127
"Q13822",-9.52703707700515,NA,-10.3447714432849,NA,-10.4642398247361,-9.05830103187563,-10.1963386606802,-10.531520710074,-10.0730835141047,NA,-10.3466720188689,NA,-10.4803574574918,NA,-9.15319009115406,-9.26511268618425,-8.80720156622,NA
"P01034",-9.53221182915209,-7.53922319763535,-7.31870706091326,-9.18029035526796,-8.87927732401496,-6.22996177023557,NA,-9.27314252163345,-9.93915939908086,-9.75750906816934,-9.13437060949306,-9.15246593752315,-9.48035745749184,-9.0187962927426,-9.15319009115406,NA,-9.39216406694115,-8.66296501272243
"P16930",-8.94379743214045,-8.30771251717418,NA,NA,NA,NA,-10.1963386606802,NA,-10.2207238006473,-8.96708630926621,NA,NA,NA,NA,NA,NA,NA,NA
"Q13228",-10.5218808196762,-9.6567945430075,-10.3238824021864,NA,NA,NA,NA,-8.69597393456906,-9.93915939908086,-9.69547688200914,NA,NA,NA,NA,NA,NA,-8.39216406694116,NA
"P16070",-8.94724932843093,-9.05481512246659,-10.3447714432849,-10.180290355268,NA,-10.6874720832789,-10.1576359027308,-8.27314252163345,-8.51483065278751,-9.83201040001104,-8.88404752080084,-8.56750343680199,-10.4803574574918,-10.0187962927426,-9.56822759043291,-9.26511268618425,-10.3921640669412,-8.66296501272243
"Q12805",-8.95070950379069,-7.41447785901264,-7.99368264925787,-8.67813899316589,-9.46423982473612,-8.17887488329639,-9.46206173940031,-8.94655820935281,-9.4420843950999,-9.83201040001104,-8.41420650857963,-10.1524659375231,NA,-11.0187962927426,-8.15319009115406,-8.68015018546309,-8.80720156622,-8.24792751344358
"A0A0A0MT36",-7.53350842257665,-8.53915881110803,-9.30329150552022,NA,-8.45972434361362,-7.72695724481206,-8.05395702366639,-8.69597393456906,-8.07508672915269,-8.72615959765786,NA,-6.98254093608084,-7.31043245604953,-7.43383379202145,NA,-7.6801501854631,-8.0702359720538,-7.66296501272243
"P10321",-10.5218808196762,-10.0213718531142,NA,NA,NA,-9.79526662604183,-10.3337942763799,-9.69597393456906,NA,NA,NA,NA,NA,-11.0187962927426,NA,NA,NA,NA
"P17538",-9.53740520927173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
