"","F1_126","F1_127N","F1_127C","F1_128N","F1_128C","F1_129N","F1_130N","F1_130C","F1_131N","F1_131C","F1_132N","F1_132C","F1_133N","F1_133C","F2_126","F2_127N","F2_127C","F2_128C","F2_129N","F2_129C","F2_130N","F2_130C","F2_131N","F2_131C","F2_132N","F2_132C","F2_133C","F3_126","F3_127N","F3_127C","F3_128N","F3_128C","F3_129N","F3_129C","F3_130N","F3_130C","F3_131N","F3_131C","F3_132N","F3_132C","F3_133N","F3_133C","F4_126","F4_127N","F4_127C","F4_128N","F4_128C","F4_129N","F4_129C","F4_130N","F4_130C","F4_131N","F4_131C","F4_132N","F4_132C","F4_133C","F5_126","F5_127N","F5_127C","F5_128N","F5_128C","F5_129N","F5_129C","F5_130N","F5_130C","F5_131N","F5_132N","F5_132C","F5_133N","F5_133C","F6_126","F6_127N","F6_127C","F6_128N","F6_128C","F6_129N","F6_129C","F6_130N","F6_130C","F6_131N","F6_131C","F6_132N","F6_132C","F6_133N","F6_133C"
"P20774",-0.128156351490682,-0.112474729258412,-0.0908029370083126,-0.0528949484321255,-0.655171503002559,0.176322772640463,1.2066432239834,0.138814468902282,-0.0144995696951151,-0.156820109742826,0.426533138116673,-0.0603972796439563,-0.077041035763828,-0.0954195650786824,-0.46394709975979,-0.31114825613412,-0.492078535042672,-0.227692025041597,0.280956313831056,-0.641603738043346,0.836732080459136,0.641546029087524,-0.204233052217608,-0.194294815161489,0.121678556588252,0.271425676092934,-0.286304185156641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.512513650651464,-0.192645077942396,-0.168122758808327,-0.260151897300673,-0.293358942690592,0.531069492725954,-0.261880711217424,-0.160040412510468,0.00863030514344006,-0.0649174766813385,-0.0174170530774094,0.0243196791954129,-0.0144995696951151,0.271425676092934,-0.00723156923107586,-0.112474729258412,-0.338250400189295,-0.251538766995964,-0.112474729258412,0.228972569760161,-0.00578235259400611,-0.29689930039584,-0.265344566520995,-0.106249498279434,-0.277533975528909,0.121678556588252,-0.251538766995964,-0.459972730742493,-0.710755714843358,-0.329159664118438,-0.179514657013621,-0.608232280044003,-0.305788392232109,0.0114956388378294,-0.41119543298445,-0.217591435072627,0.214124805352847,-0.0724827538015237,0.00432160595009347,0.00288250853312136,0.10969486482593,0.0172092900322231,-0.00723156923107586
"O95810",-1.30044836747691,0.18269229751619,-0.617056130431009,-0.601649629654035,-0.734563103950902,1.63552224145975,-0.541617995843987,-1.02034044828418,0.722466024471091,-0.816037165157405,1.09288396567848,-0.0424567992428948,-1.19099722506091,0.546956178141411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.302226180444814,-0.289827251720338,-0.537424111957796,0.272620454662992,0.565597175854225,0.0894981508391026,-0.905088352974533,-0.0174170530774094,-0.407363571393423,0.490570130446201,0.70310069960416,-0.0694518807521452,-0.298672742587059,-0.888968687611256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12234140752612,0.648005179810493,0.513995979367013,0.702214251010441,0.441483479582645,0.461528559472877,-0.24297675349254,0.376290383337052,0.180147861158429,0.194087052116302,0.180147861158429,-0.254977850962736,-0.156820109742826,-0.077041035763828,-0.643856189774725
"Q12884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.316528107144772,0.0200576523412535,-0.41119543298445,-0.569179503480228,-1.08008791132269,-0.164884384741782,-1.30044836747691,-0.22431729826094,0.137503523749935,-0.0938790470029001,0.192825403552391,0.0922074380970889,-0.282789700980404,-0.810966175609983,-0.422752464406849,0.349365277594213,-0.209227962138,0.665392771041891,0.102993993323326,0.726831217032493,-0.708396441969435,-0.0424567992428948,0.402722176845605,0.172487515510134,0.411426245726465,0.24731993497982,-0.0101343771337132,-0.347398782403481,-1.22095044716254
"P00390",0.0426443374084937,0.0840642647884745,0.34255474547732,0.523060061795249,0.845590408847855,0.0690146779151805,1.62713987096555,1.43349363984688,0.00432160595009347,-0.486004020632987,-0.192645077942396,-0.573466861883327,0.222804561045261,-0.150400988848548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.648371670897218,-0.309359421384307,-0.502259911390907,0.0214797274104514,-0.0218043703183484,0.27500704749987,-0.388355456626338,-0.849440323424619,0.958285900923258,-0.483984852996335,-0.49817873457909,-0.237863830098888,-0.666576266274808,-0.479954975960182,-0.569179503480228,0.0114956388378294,0.0648828515848544,0.349365277594213,0.0648828515848544,-0.380821783940931,-0.177881725270655,-0.783389931257558,0.409255146684838,-0.42081985187285,-0.403541860441014,-0.465938397578882,-0.601649629654035,0.070389327891398,0.206643223983395,0.244887059123534,0.766383141001298,0.743299527888257,0.18269229751619,-0.373327247394007,-0.428565884123491,0.0200576523412535,0.108357178090419,-0.298672742587059,-0.164884384741782,-0.156820109742826,-0.577766999316952,0.244887059123534,-0.481968507397831
"Q13867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0740005814437769,0.771463058365651,0.321928094887362,0.00863030514344006,0.0496307677246004,0.350497247084133,0.134878054343112,0.0271540515037266,-0.407363571393423,0.233888060174277,1.34255474547732,-0.248107861595691,0.599317793698226,0.62760683812965,0.611644543373662,0.411426245726465,0.673556423990145,0.481298941547565,0.650764559116902,3.66902676550963,0.0440443327060212,0.113700499164728,0.451013242943973,-0.0740005814437769,0.448900951145128,-0.174621396107069,0.171206827418142,0.276198865032242,-0.15200309344505
"P10645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190298791626595,-0.0291463456595165,-0.599462070416271,-1.46593839757888,0.302172799740752,-0.841662972832899,-0.101598140007807,-2.45008444637804,-1.49817873457909,-0.729770092762002,0.235114320376357,-0.753895990116083,-1.2827897009804,-0.494109070270043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q14623",-0.471928835421265,-0.753895990116083,-0.314732593483158,-0.274040765490812,-0.329159664118438,-0.0247366783215064,-1,-1.9105018491609,-0.0543922968186278,-0.0634091701760615,0.291603558030565,-0.67116353577046,-0.780908941753803,0.313826296390398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.347398782403481,-0.212567535483132,-0.547931769776189,-0.846843211938579,-0.241270431542137,-0.214240225572989,-0.15360697914764,-0.849440323424619,0.13224779829844,0.0143552929770701,-0.0247366783215064,-0.0785636691937021,0.0989584800881688,0.211635253327149,-0.367731784500487,-0.3040061868901,-0.343732465205711,-0.422752464406849,-0.471928835421265,-0.401634794676355,-0.168122758808327,0.138814468902282,-0.810966175609983,0.302172799740752,0.368489000645104,-0.0573916638883367,-0.438307278601691,-0.475936324222789,-0.171368418311981
"P04080",-0.0528949484321255,-0.373327247394007,-0.375197234747053,0.442545456105304,0.657182660128423,0.533064921869638,3.74727997234406,0.292781749227846,-0.407363571393423,-0.567040592723894,-0.943416471633633,-0.428565884123491,0.00288250853312136,0.255802836602718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q14118",-0.140825544133565,-0.267079617891743,-0.0499049058263139,-0.244685095954902,-0.197599959885161,-0.0115879742752118,2.20695573238728,0.583037623796664,-0.0218043703183484,-0.00868224309980088,-0.134477040860036,-0.321928094887362,-0.241270431542137,-0.13764780046798,0.0510240030244669,-0.496142467422571,-0.550042516371997,-0.349235440883098,1.76085963682191,-0.518701058452435,0.59741198755465,0.35501626421955,-0.0203404482841755,-0.454031630894707,-0.407363571393423,-0.258425152581204,0.250961573533219,-0.586405917590825,-0.703689439291908,-0.41119543298445,-0.682695931638085,-1.13606154957603,-0.552156355637914,-0.597277823154395,-0.123433941248279,-0.550042516371997,0.10969486482593,-0.974262438586392,-0.0409717810563062,-0.67116353577046,-0.364013496254377,-0.390245037827557,-0.918660372548061,-1.11403524324603,0.12300395405482,-0.502259911390907,0.0579700686373299,0.37851162325373,-0.351074440546879,-0.888968687611256,0.441483479582645,0.0468402542029724,-0.483984852996335,-0.307572801910292,-0.172993990361023,0.899175630480513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.588573754273535,-0.349235440883098,-0.0709665213541436,-0.354759487354735,-0.569179503480228,-0.275786313242642,-0.316528107144772,-0.179514657013621,-0.189351252217354,-0.320125852253377,0.185232254230161,-0.0634091701760615,-0.275786313242642,-0.0877333719335504,-0.340075441597622
"O00462",-0.599462070416271,-0.500217879852688,-0.263611599296539,1.20789285164133,0.402722176845605,-0.327348370671615,0.117695042669755,-0.251538766995964,-0.327348370671615,0.216610068742442,0.270229907237998,-0.298672742587059,-0.595096877854869,-0.577766999316952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303342394487331,-0.0816137655536521,-0.217591435072627,0.13224779829844,-0.288064643021078,-0.148800661406706,0.13224779829844,0.183962834842595,0.104336659814736,-0.109358756036556,-0.356605546520108,-0.210896782498619,-0.132894270497345,-0.24297675349254,-0.415037499278844
