"","CTRL.1","CTRL.2","CTRL.3","CTRL.4","CTRL.5","CTRL.11","CTRL.12","CTRL.13","CTRL.14","CTRL.15","CTRL.16","CTRL.17","CTRL.18","CTRL.19","CTRL.21","CTRL.22","CTRL.24","CTRL.25","CTRL.26","CTRL.27","CTRL.28","CTRL.29","CTRL.30","CTRL.31","CTRL.32","SARS.COV2.1","SARS.COV2.2","SARS.COV2.3","SARS.COV2.5","SARS.COV2.6","SARS.COV2.7","SARS.COV2.8","SARS.COV2.10","SARS.COV2.11","SARS.COV2.12","SARS.COV2.13","SARS.COV2.14","SARS.COV2.15","SARS.COV2.16","SARS.COV2.17","SARS.COV2.18","SARS.COV2.19","SARS.COV2.20","SARS.COV2.21","SARS.COV2.22","SARS.COV2.23","SARS.COV2.24","SARS.COV2.25","SARS.COV2.26","SARS.COV2.27","SARS.COV2.28","SARS.COV2.29","SARS.COV2.30","SARS.COV2.31","SARS.COV2.32","SARS.COV2.33","SARS.COV2.34"
"A0A0A0MS51",-0.743595709433691,0.486424007758292,0.28868108411802,-0.690379270111419,-0.0768294043565662,1.237741828074,-0.407628958141254,-0.482833576321843,-0.823304833335979,-0.498866248734484,-0.404483897041511,-0.894858379460126,-0.700289673178276,2.62891172933377,0.321521385949684,0.10541683155164,-0.414383128084015,1.24825906280514,-0.655529911314896,2.38514279024058,-1.09911813564774,0.625400448368132,-0.270022861689325,0.435077111340658,-0.646909195839884,-0.333816755678885,-0.15401283328974,0.45750481398635,0.194110987918227,1.1888443298738,-0.214131131266959,2.6628692336008,-1.07355218411228,-0.0197193783028581,-0.692118291072999,0.202288909745076,-0.432777184961252,0.28351906388985,3.00355139663566,-0.426659820406648,-1.00167900909626,2.35217850618743,-0.175192811557011,-0.831595837848359,0.30560506608336,-1.1298155887107,-0.695258174893164,-0.966300477829134,-0.8196627533967,-0.897890357874338,-0.544408324791016,-0.604701560320309,-0.156633899198458,-0.206238232305327,-0.0557802205207517,0.558650872716043,-0.730721450052339
"A0A0A0MSV6",0.816684565026183,-0.310711883485928,0.125959069564545,2.61590156699866,-0.881555553682121,-0.947333593866489,-0.943766505078436,-0.249292170549025,-0.00972544809430447,-0.780216779624798,-0.0381548406460461,-0.336889442964264,0.855613389911505,-0.412793373047343,-0.830220489964685,-0.749409378984713,-0.348315027503484,-0.220812568620136,-1.54842576917791,-0.643849261125669,0.162883735418542,-0.268943200898045,0.251484965410116,0.189494322028948,-0.060963235934489,1.92586382502064,3.50586821947855,0.0952831331714947,-0.20636261649928,-1.27717692974321,-0.0352583345011763,-0.0789096004377032,1.16967266069047,-0.124090987560853,-0.173453014395243,0.86776996165756,-1.22591261908701,0.565915708924433,-0.306329256433035,-0.0422531523098716,-0.487340423458842,-1.62967473658882,-0.218913964264128,-0.113813319697635,0.0969735410873014,0.157606154963824,0.0290052988817823,0.358336192489454,0.153534366116018,1.39631318980133,-1.52543861317571,-1.1664030854923,2.10266905600779,-0.345788767605365,-0.2549954192042,-0.669473444277858,2.02013388533099
"A0A0B4J231",-0.575727476649519,2.10127396184199,0.793496945694184,0.548076813503985,-0.889607830001111,-0.153811140608725,0.469295687019672,0.822716111512649,0.588694705298804,-0.744063338141475,-1.39689716627997,-0.345681899129729,-1.07851837341022,0.365420960094706,0.837887449720771,1.02304757857748,1.49446477307472,-0.175446199754053,0.500592897129116,0.388677565855502,0.803589490577139,-0.456934670409214,1.03684912243309,0.482062544475617,0.396598711199684,-0.766310133634975,-0.711629671578011,0.14787566699455,-0.703761548443304,-1.59110791063659,0.183846018720048,-0.880152277046214,-0.823821229479013,-1.22535739509264,1.82696796383037,1.50406398039298,1.11833918049561,-0.457956589516182,-0.0722372916077183,-0.721363415359173,0.453442503955712,-1.82218223731854,-1.27774699860637,-1.60132088546323,0.899218309729861,1.3325145109737,-0.613000281954638,0.490236368381097,-0.732161386644718,-0.325327877100123,-1.28189678166352,1.84279989783374,1.91080818584997,-1.0710622967912,-0.249063112582464,-1.05190266392228,-0.566807826341807
"A0A0C4DH68",0.137373447404289,-0.731600065581476,0.349896064580813,-0.200686625183856,1.36873944809609,1.01756144877453,-1.13371603957982,1.03733419055388,1.81736841111385,-0.524923926584903,-0.168779029198568,2.78682515224274,3.55436977780267,-1.02714225135562,-1.36627192118664,-1.50136303308299,0.0376508147190228,-0.0129392694760555,-0.0888931096717512,1.84218045349082,-0.124477847976582,-1.69813931134388,0.665650782191902,-0.265284649780311,-0.160120550463458,1.97762282833037,1.03141088348536,-0.209329400895103,-0.281110346930634,0.113322316653445,-0.147534102584681,-0.501112240600619,-0.296886932610351,-0.112523736629209,-0.284124168228733,-1.50275006326463,0.0978183734081858,0.651149197738342,0.557310034920114,-0.468241701467423,-0.22261215668438,-0.234866311715904,-0.194570560862682,-0.403347954153115,-0.19362068600309,-1.44778136475784,-0.457254854234257,0.123504621039821,-1.37435054732245,-0.576849610923731,0.0353070593653692,-0.18990549810224,-0.133120412908985,-0.198252445706211,-0.389426643856541,-0.18990549810224,-0.18858043690068
"A0A0C4DH72",-0.174001676610752,2.43462924694033,0.0757118734012983,-0.666752570396309,1.11941271725018,0.0708579429946462,-0.290792621906717,-0.0246896413838089,-1.55971843708923,-0.65025050724618,-0.0637273340154293,-0.248920422451323,-0.464040637004694,-0.256381318996354,-0.559718082102885,-0.523092808323633,0.0301982103342837,-0.292631475702828,-0.156191904635847,0.147733538729612,-0.0581795670473842,-0.524552481820439,-0.448453449938913,-1.71623668582262,0.165970112018693,-0.174709328142329,-0.0849251867958607,0.806248634470515,-2.00977164631859,0.762478258111747,0.869138441977696,0.388551385646156,0.599795119565706,0.108141784529056,-2.71550728532509,0.40719151859369,3.30809975276676,1.47954396048935,0.650348646285153,0.0176899738000153,-2.140558131586,0.217219750706386,-0.150941403320364,0.505593763399483,-0.772119673052973,0.452629443118281,-0.098480435541067,-0.0960883328213247,2.41579375406148,0.415258811065298,0.121618044150618,-0.178657159033927,0.324587261045791,0.0128939037390779,-1.11572593654441,0.229316463658212,0.0791638281277968
"A0A0G2JH38",1.24299639495481,-0.741928310772651,0.568214721914979,1.43178031280108,-0.985819652640179,0.67733484302927,2.44671828955968,2.40436718957543,-0.488383604891558,0.0499123783628227,-0.999234786797028,1.00517759355727,0.222897738924147,-0.76456925406088,0.927891325480822,0.785185322168957,0.756849632978008,0.19430611995922,0.602754960345245,0.889405217450146,1.87310673911144,1.58414310714545,-0.275957917147623,1.32264977354923,0.787889788430777,-0.27908047971937,-0.67300780715595,1.97713362468628,-0.654237750293859,-1.10038681472865,-0.823754145209605,-0.412820716096554,-0.648048965341637,0.74600681923289,-0.691822689425695,-0.582177000687712,-0.789621447870949,-1.17285537958793,-0.606218635154574,-0.794381165927765,-0.735501964867937,-1.2113190063744,-0.29531289760134,-0.641169293372356,1.02600002351845,-0.552516837219217,-0.227904531819001,-0.716320802814544,-0.604443576427609,-0.679104748000744,-1.19459844391549,1.17612607114508,-0.669505393805577,-0.701775574894076,-1.16094388425848,-0.959985550190167,-0.864138958810379
"A0A0G2JIE7",-0.459015333830293,-1.1165627041449,-0.581609179593341,-0.930306524353019,-0.385400072439771,-0.474708686069968,0.256824550894374,-0.438916922637722,-0.547785185010712,-0.565029540043382,-0.460406092712278,-0.400496631512924,-0.465659191457603,-0.498304107386373,-0.535354082268039,-0.444654050315895,-0.594040282336013,-0.319671053566868,-0.650945994503863,-0.523785526996982,-0.560218266073273,-0.138168776468313,-0.549602601548763,-0.32951781109451,-0.342132238146898,0.20636486436493,0.461825311634771,0.327562016286326,1.75481364638406,0.0448587852646807,0.696670346781042,0.405209753050644,0.213816535946926,1.36113326398772,0.168340896657901,2.77727399014872,-1.09127120324364,-0.59734077935087,-0.512679898579957,-0.12973783654125,0.211646319028665,0.0462990021438909,0.0314240148983095,-1.10494996639632,4.47684333129068,-0.0492525296161063,0.289337578830542,2.52522416636756,-0.661799716855019,-0.527801516371704,0.0296896877955973,1.20062887419128,-0.546329801012352,0.806123532401221,-0.968310708861159,0.926266899261729,-0.71641255627149
"A0A0G2JL54",0.403793385716579,0.557097306522294,0.725207151764947,0.342514156654646,0.273911296243066,0.564690972194228,0.442240792972097,0.87919477649305,0.153141428793994,-0.797144707713522,0.563823857070941,0.367167715738429,-0.842843265747729,0.350688550803646,-0.402389884904557,0.437978581836017,0.279920554312051,0.576640985353549,0.535243088514407,0.135979885800925,0.0378796427830148,0.439361900050029,0.421675756826918,0.276384474749651,-0.745586272299256,1.0478088920495,-0.289045740341054,-0.159362972437674,-0.334837550817164,-0.153198588268652,-1.57081425489426,-1.68960991069414,0.397957815845073,5.11100826824168,0.400667882071374,-0.240896985444712,-0.341077509240051,-0.422920448583062,-0.20927689440966,-2.04373937348124,-0.447597873220696,-1.8038552008929,0.0557695271232696,1.69515673682768,0.601240625963814,-0.468577904830079,-1.73574070042588,-0.254832701075457,-0.297967479889381,-0.298501361168143,-0.233982162193455,-0.486660923374654,-0.368418152905685,-0.253498881787952,0.0560338160344447,-1.06246735093455,-0.175334773375752
"A0A0G2JPR0",1.29953459385237,0.0924427317191791,-0.606219884740434,-0.3705871697653,0.906054759447787,-0.414058572868371,-0.87650000396322,2.06419098014545,-0.256659811831022,1.10362388492638,0.755421624647583,0.330226547980044,-0.765402398880896,0.53714496493025,-0.86905012167995,0.346426042385498,0.581656253804088,0.441528461829677,2.38235985162984,0.553413751087211,1.98778612464817,0.131377563091281,-0.519094168690242,-0.195560281445853,0.0876921707556168,0.695696720332737,1.00965917490215,-0.974611519616192,-0.217971577574575,-0.578305498846865,-2.21034329304108,-0.524484659358891,-0.655040509160154,-0.255016170725439,-1.78718671856307,-0.578239773582569,0.108745144755547,-0.369632370189397,-0.461239122669719,-0.414328606899976,1.78475823574577,-0.651714505087853,-1.14952122335589,-2.01290358009839,2.45019545735813,-0.775082354666687,-0.600690301070599,-0.349797096822556,-0.29227882909428,-0.475763896581047,-0.403946053133839,-0.325185278085337,-0.24620643781886,1.78462984220621,-0.600713228488377,-0.269535340156867,0.618305476372829
"A0A0S2Z4L3",0.717770268097775,1.03039468183676,1.28479887952498,0.406525267911558,-1.39888822593619,-0.482770677734024,-0.383507748219691,-0.535778137738226,-0.560221888458661,-0.387887194582603,-1.55946576351128,-1.80703422691557,-0.355705399729692,-0.295715948681792,-1.93178947375864,1.15515877485482,1.57678988498236,-0.51963799660435,-1.07649999399301,-0.194354116715856,-0.658561277304489,-0.401206585386044,-1.93804253998351,-0.452917785882344,-0.33737022770937,-1.30171063473848,1.12132923247457,0.665995375141578,-0.709688040506735,-0.036685791221059,-0.0691040738185864,0.212866574360015,1.18332676524422,0.896125668669089,1.02881003702433,-0.472615268850462,1.46466992474384,1.99415301055182,-0.619912928537045,-0.396887882758034,2.66128788684199,1.14962106931378,0.40159382022954,0.553035028279417,0.929682159114774,-1.14671621306936,0.456995055184867,-1.07293203674879,0.310596166876829,0.816988966737179,0.176926924373187,0.490628802225428,0.381618567366872,0.404789058634368,-0.772719986004711,-0.487835997530825,-1.10831378796652
