"lrp","spearman_corr","p_value","adjusted_p_value","CI_lower","CI_upper","Tot_sample_size","file"
"HLA-G_LILRB2",-0.195360195360195,0.327273140610248,0.68155930235023,-0.532926106480565,0.203066469414723,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"ICAM1_ITGAL",-0.432967032967033,0.123872396419663,0.419949829722476,-0.777034179358796,0.143073067252849,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"ICAM3_ITGAL",0.151648351648352,0.60507220358306,0.9252386143368,-0.41691889002189,0.627902521508034,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"ICAM3_ITGB2",0.407203907203907,0.0359742891032217,0.216505813318472,0.0243431159866496,0.6775116344015,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"NCAM1_FGFR1",0.673382173382173,0.000172112506646517,0.00499888199378636,0.383263975125362,0.834880318145598,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"NID1_ITGB3",-0.39010989010989,0.188771716723795,0.522507367809323,-0.768015037240721,0.220441362514372,13,"babacic_2023_nat_comms_matrix copy 2.csv"
"PLG_F2R",0.368131868131868,0.216629806809432,0.565046335057605,-0.243859421399633,0.757667713422933,13,"babacic_2023_nat_comms_matrix copy 2.csv"
"PODXL2_SELL",-0.236263736263736,0.43669325825251,0.779512319492917,-0.691468361331804,0.370347795020653,13,"babacic_2023_nat_comms_matrix copy 2.csv"
"PROC_PROCR",0.325396825396825,0.098012606482632,0.366360511980664,-0.0685546262305306,0.6239758376647,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"PROS1_AXL",-0.135531135531136,0.498644015635058,0.847436461804658,-0.488310818068596,0.260189908556779,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"PROS1_TYRO3",0.120879120879121,0.681768230694678,0.980858466041692,-0.441528205196815,0.609279866460349,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"SCGB3A1_MARCO",-0.274725274725275,0.341083289321238,0.698129915116169,-0.697467881177866,0.309099979773844,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"SCGB3A2_MARCO",-0.343711843711844,0.0797436254673272,0.321334979774862,-0.636198782037971,0.0483525105837306,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"SEMA3A_PLXNA1",0.202075702075702,0.310648645964327,0.669271455865606,-0.19647788858797,0.537821594271233,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"SEMA4D_PLXNB2",0.0842490842490842,0.675103534201215,0.980858466041692,-0.307015417865328,0.448567162433556,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"SERPINE1_LRP1",0.1001221001221,0.61800466151897,0.936284198513729,-0.29272377295217,0.461022687217435,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"TF_TFR2",-0.38021978021978,0.180763664202653,0.513836239927894,-0.751609482329124,0.202423837963907,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"TNC_ITGA7",0.507692307692308,0.0666901684873186,0.284082795634292,-0.0508184013339114,0.811375083155815,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"TNC_ITGB1",0.174603174603175,0.382060951472135,0.729641875300496,-0.223201587047261,0.517653455486552,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"VCAN_CD44",-0.284493284493284,0.150106377576988,0.464480111747661,-0.596160398576842,0.112504393209161,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"VCAN_TLR2",-0.0901098901098901,0.761584492880023,1,-0.590113757867226,0.465305834291822,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"VTN_ITGB3",-0.489010989010989,0.0928917365746087,0.355526026586044,-0.812444757096195,0.105022131703567,13,"babacic_2023_nat_comms_matrix copy 2.csv"
"ANGPTL3_ITGA5",0.104395604395604,0.736951230071543,1,-0.477211696032117,0.617047148336145,13,"babacic_2023_nat_comms_matrix copy 2.csv"
"ANGPTL3_ITGB3",-0.291208791208791,0.33407089024092,0.690237807867854,-0.719953235414304,0.320354568500017,13,"babacic_2023_nat_comms_matrix copy 2.csv"
"C3_ITGAM",0.0213675213675214,0.916342245732361,1,-0.361939615624661,0.397802706953264,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"C3_ITGB2",0.183760683760684,0.35725975126619,0.705017722689028,-0.214360854228929,0.524417871644719,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"CALR_LRP1",0.0757020757020757,0.70663269681756,0.996883976585632,-0.314637881130587,0.441801774366331,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"CHAD_ITGA2",0.661782661782662,0.000241269157575294,0.00586194693960714,0.365462621344402,0.828498164286128,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"CHAD_ITGB1",0.594627594627595,0.00132600720425456,0.0209604994214697,0.266677532956839,0.790752041951264,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"COL1A2_CD44",0.0873015873015873,0.66397058438914,0.970473119648905,-0.304280789054494,0.450973384745104,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"COL2A1_DDR1",0.657142857142857,0.0129319419751063,0.113870522626439,0.169879013237236,0.874863930347264,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"COL2A1_ITGA2",0.608791208791209,0.0236548803059208,0.168983452432454,0.0923680160199444,0.85502197246787,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"COL3A1_ITGB1",0.043956043956044,0.827620342871739,1,-0.342513120230166,0.416305843851538,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"COL5A1_ITGB1",0.387057387057387,0.0469769007713826,0.242872976945337,0.000814855295157713,0.664576918722855,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"COL6A1_ITGB1",0.652014652014652,0.000317076786761665,0.00705092786832719,0.350646334274611,0.823092885493013,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"COL6A2_ITGB1",0.51037851037851,0.00720321705019296,0.0781850384080956,0.152159645679737,0.741364590686633,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"DCN_MET",0.103296703296703,0.727041064526361,1,-0.455214204832369,0.598396135040496,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"F9_LRP1",-0.377899877899878,0.0527965528401937,0.252891745108824,-0.658644656743544,0.00973559897279038,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"FBN1_ITGB1",0.236263736263736,0.234416108149722,0.583941392487146,-0.16235671765157,0.562406228497365,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"FBN1_ITGB3",0.0934065934065934,0.764581607054883,1,-0.485386669432245,0.610415129842655,13,"babacic_2023_nat_comms_matrix copy 2.csv"
"FGA_ITGB3",0.032967032967033,0.920585447351698,1,-0.528592353593685,0.572611944616955,13,"babacic_2023_nat_comms_matrix copy 2.csv"
"HP_ITGAM",-0.272283272283272,0.168984239540035,0.497508735489793,-0.587714925005332,0.125321580239085,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"HP_ITGB2",-0.158730158730159,0.427361956061499,0.770748499503117,-0.505827966612784,0.23836953797853,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"HSPG2_ITGA2",0.626984126984127,0.000612273972536462,0.0118132860583506,0.313387855004722,0.809111140427485,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"HSPG2_ITGB1",0.665445665445665,0.000217208840515514,0.00548034612992992,0.371059630180457,0.830517856454965,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"ICAM1_ITGB2",0.014041514041514,0.945385506964834,1,-0.368169196703999,0.39173540416003,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"MMP9_LRP1",-0.0934065934065934,0.641918006287895,0.960786714462977,-0.455770173497642,0.298791926157387,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"NPNT_ITGB1",0.292307692307692,0.309937985690013,0.669271455865606,-0.292324682382323,0.706818106871181,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"SEMA3F_NRP1",0.200854700854701,0.313630979209457,0.669620344249372,-0.197678546133511,0.536933148959396,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"SEMA3F_NRP2",-0.0061050061050061,0.976926381837353,1,-0.385125268235354,0.374879350167472,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"SEMA4A_PLXND1",-0.032967032967033,0.870589108659894,1,-0.407342566014475,0.352005423383028,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"SHH_LRP2",0.586813186813187,0.030331608497692,0.193458626977817,0.0592011656555802,0.845789873836059,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"VWF_GP1BA",-0.0573870573870574,0.775777028393031,1,-0.427164014561513,0.330802763887513,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"ADAM15_ITGB1",-0.333333333333333,0.089740360453828,0.345276694766635,-0.629289723218989,0.0598410559792955,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"ADAM17_ITGB1",0.07997557997558,0.690804035576253,0.986218601388514,-0.31083298387623,0.445189635477667,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"ADAM17_NOTCH1",0.38034188034188,0.0511913844770231,0.250608568783038,-0.00693083857722445,0.660229854786005,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"APOD_LEPR",0.424297924297924,0.0283680775838189,0.186094588949852,0.0446567254688639,0.688363298332388,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"BGN_TLR2",0.0901098901098901,0.761584492880022,1,-0.465305834291822,0.590113757867226,14,"babacic_2023_nat_comms_matrix copy 2.csv"
